doy;bad-norm;norm-good
140;0.2083;0.2532
141;0.2158;0.2623
142;0.2316;0.2816
143;0.2425;0.2948
144;0.2538;0.3083
145;0.2587;0.3168
146;0.2611;0.321
147;0.2613;0.3245
148;0.261;0.3281
149;0.2619;0.3312
150;0.2649;0.3338
151;0.2701;0.3369
152;0.2764;0.3411
153;0.2834;0.3464
154;0.2899;0.3537
155;0.2958;0.3638
156;0.3014;0.375
157;0.3074;0.3862
158;0.3138;0.3984
159;0.3207;0.4123
160;0.3274;0.4282
161;0.3333;0.4473
162;0.3376;0.4709
163;0.3452;0.4975
164;0.3528;0.5233
165;0.3626;0.5447
166;0.3687;0.5588
167;0.3712;0.5654
168;0.3718;0.5685
169;0.373;0.5728
170;0.3779;0.581
171;0.3874;0.593
172;0.3998;0.6067
173;0.4128;0.6201
174;0.4244;0.6325
175;0.433;0.6439
176;0.4384;0.6548
177;0.4422;0.6663
178;0.4447;0.6775
179;0.4465;0.6931
180;0.4497;0.7069
181;0.4541;0.7204
182;0.4581;0.7317
183;0.4623;0.7391
184;0.4669;0.7419
185;0.4699;0.7405
186;0.4706;0.7367
187;0.4709;0.7338
188;0.4719;0.7347
189;0.4725;0.7391
190;0.472;0.7447
191;0.4717;0.7506
192;0.4715;0.7557
193;0.4704;0.758
194;0.4691;0.7577
195;0.4687;0.7566
196;0.4687;0.756
197;0.468;0.7546
198;0.4667;0.7507
199;0.465;0.743
200;0.4626;0.7312
201;0.4597;0.7145
202;0.4559;0.6975
203;0.4494;0.681
204;0.4405;0.6687
205;0.432;0.6593
206;0.4267;0.6537
207;0.4245;0.6487
208;0.4244;0.6467
209;0.4247;0.6442
210;0.424;0.6415
211;0.4219;0.6374
212;0.4201;0.6318
213;0.4209;0.6256
214;0.4196;0.6142
215;0.4177;0.6017
216;0.4158;0.5848
217;0.4049;0.5652
218;0.3897;0.5504
219;0.3671;0.5329
220;0.3491;0.5176
