doy;bad-norm;norm-good
140;0.1951;0.223
141;0.2029;0.232
142;0.209;0.2387
143;0.2189;0.2496
144;0.2293;0.2609
145;0.2363;0.2678
146;0.2401;0.2712
147;0.2433;0.2741
148;0.2461;0.277
149;0.2484;0.2796
150;0.2503;0.2817
151;0.2515;0.2833
152;0.2516;0.2846
153;0.2511;0.2863
154;0.2509;0.2895
155;0.2512;0.2947
156;0.2529;0.3019
157;0.2561;0.3103
158;0.2604;0.319
159;0.2656;0.3281
160;0.2715;0.3372
161;0.2772;0.3468
162;0.2826;0.3578
163;0.287;0.3685
164;0.2898;0.3783
165;0.2911;0.3862
166;0.2911;0.3918
167;0.2905;0.3948
168;0.2912;0.3978
169;0.2945;0.4021
170;0.3001;0.4086
171;0.3072;0.4165
172;0.3147;0.4247
173;0.3208;0.4324
174;0.3241;0.4381
175;0.3253;0.4417
176;0.325;0.4438
177;0.3243;0.4455
178;0.3245;0.4478
179;0.3272;0.4517
180;0.332;0.4571
181;0.3383;0.4632
182;0.3444;0.4692
183;0.3493;0.4739
184;0.3517;0.4767
185;0.3524;0.4779
186;0.3524;0.4783
187;0.3534;0.4792
188;0.3569;0.482
189;0.3621;0.4861
190;0.3683;0.4912
191;0.3739;0.4964
192;0.3768;0.4994
193;0.3763;0.4991
194;0.3734;0.4963
195;0.369;0.492
196;0.3649;0.4878
197;0.3622;0.4849
198;0.3607;0.4833
199;0.3591;0.4819
200;0.3561;0.4795
201;0.3517;0.4756
202;0.3464;0.4707
203;0.3408;0.4653
204;0.3368;0.4609
205;0.3353;0.4586
206;0.335;0.4574
207;0.3343;0.4562
208;0.3325;0.4544
209;0.3295;0.4516
210;0.3252;0.4475
211;0.3211;0.443
212;0.3194;0.4403
213;0.3209;0.44
214;0.324;0.4413
215;0.3277;0.4429
216;0.3304;0.4419
217;0.3293;0.4357
218;0.3267;0.4285
219;0.3248;0.4237
220;0.3215;0.4163
